# Lessico di pronuncia per la voce fuori campo (Piper, it_IT-paola-medium).
# Una riga per parola: parola<TAB>grafia da far leggere alla voce<TAB>fonte.
# L'accento si forza scrivendolo: grave = vocale aperta o accento semplice
# (àncora, pèsca), acuto = vocale chiusa (pésca). Verifica sempre sul
# DiPI (dipionline.it, interrogato in automatico da voce.py), poi sul
# Vocabolario Treccani per le parole comuni e sulla trascrizione IPA di
# Wikipedia in italiano per i nomi di luogo. Mai a orecchio.
# Grafia uguale alla parola = pronuncia già verificata e corretta.
power	pàuer	pronuncia inglese resa a orecchio (skill motion-graphic)
bank	banc	pronuncia inglese resa a orecchio (skill motion-graphic)
Genzano	Genzano	Wikipedia it, IPA /dʒenˈtsano/; Piper la legge già così (24/09/2026)
Nemi	Nemi	Wikipedia it, IPA /ˈnɛmi/; Piper la legge già così (24/09/2026)
Ariccia	Ariccia	Wikipedia it, IPA /aˈriʧʧa/; Piper la legge già così (24/09/2026)
Gandolfo	Gandòlfo	DiPI /ɡanˈdɔlfo/ (Castel Gandolfo); Piper diceva ɡandˈolfo con o chiusa (24/09/2026)
Velletri	Velletri	DiPI /velˈletri/; Piper la legge già così (24/09/2026)
Lanuvio	Lanuvio	DiPI /laˈnuvjo/; Piper la legge già così (24/09/2026)
Albano	Albano	DiPI /alˈbano/; Piper la legge già così (24/09/2026)
Cecchina	Cecchina	DiPI /ʧekˈkina/; Piper la legge già così (24/09/2026)
Lazio	Lazio	DiPI /ˈlaʦʦjo/; Piper la legge già così (24/09/2026)
incendio	incèndio	DiPI /inˈʧɛndjo/; Piper diceva la e chiusa (24/09/2026)
centododici	centodódici	DiPI «dodici» /ˈdodiʧi/; Piper diceva la o aperta (24/09/2026)
proteggerlo	protèggerlo	DiPI «proteggere» /proˈtɛʤʤere/; Piper diceva la e chiusa (24/09/2026)
corre	córre	DiPI /ˈkorre/; Piper diceva la o aperta (24/09/2026)
meteo	mèteo	Treccani «mèteo»; Piper diceva la e chiusa (24/09/2026)
fuori	fuòri	Treccani «Fuòri»; DiPI ˈfwɔri
scendere	scéndere	Treccani /'ʃendere/; DiPI ˈʃendere
bevi	bévi	Treccani «io bévo»; DiPI ˈbevi
pericolosi	pericolósi	Treccani /periko'loso/
scorre	scórre	Treccani /'skorrere/ (come correre)
vieta	vièta	Treccani «io vièto»
spegnere	spegnere	DiPI ˈspeɲɲere: accento e timbro già corretti
