ordine,anno,tipo,titolo,luogo,descrizione,lezione,fonte,fonte_url
-300000,~300.000 anni fa,geologico,Formazione del cratere di Nemi — Fase delle Faete,"Bacino del Lago di Nemi, Vulcano Laziale","Il cratere di Nemi si forma durante la fase eruttiva del Vulcano delle Faete (circa 308.000–250.000 anni fa), una delle tappe dell'attività del Vulcano Laziale (Colli Albani). Lo stesso apparato ha generato i crateri gemelli di Albano e Ariccia. È la storia geologica che spiega perché viviamo su un territorio fertile ma sismicamente attivo.","Il paesaggio dei Castelli Romani — i laghi craterici, le colline di tufo, i suoli vulcanici — è il risultato di un'attività eruttiva potente. Il vulcano oggi è classificato ""quiescente"": non spento, ma non in eruzione. Monitorarlo è parte del sistema nazionale.",INGV — Sezione Vulcani; pubblicazioni scientifiche su Vulcano Laziale (Fase delle Faete),https://www.ingv.it/
-400,V–IV secolo a.C.,idrogeologico,L'Emissario antico del Lago di Nemi,Lago di Nemi,Già in epoca pre-romana (V–IV secolo a.C.) viene realizzato un cunicolo emissario sotterraneo per regolare il livello del Lago di Nemi ed evitare esondazioni delle terre coltivabili a valle. È fra le più antiche opere documentate di ingegneria idraulica per la prevenzione del rischio idrogeologico in Italia centrale.,"Il controllo dei bacini lacustri è prevenzione, non magia: chi viveva qui 2.500 anni fa lo sapeva e costruiva opere mirate. La cultura del rischio idrogeologico è antica.",Soprintendenza Speciale di Roma; ISPRA — Carta geologica e archeologica del territorio dei Colli Albani,https://www.isprambiente.gov.it/
1806,26 agosto 1806,sismico,Terremoto dei Castelli Romani — il sisma di riferimento,"Castelli Romani, danni rilevanti a Genzano",Il 26 agosto 1806 un forte terremoto colpisce l'area dei Castelli Romani con epicentro stimato fra Rocca di Papa e Genzano. A Genzano l'intensità macrosismica raggiunge il grado VIII MCS: crolli e danni gravi documentati a Palazzo Sforza Cesarini e alla Chiesa della SS. Trinità (Chiesa della Cima). È il sisma di riferimento (benchmark) per il rischio sismico massimo storico del nostro territorio comunale.,Vivere in Zona sismica 2 non è un'astrazione amministrativa: è la memoria di eventi accaduti. Le moderne norme antisismiche (NTC 2018) sono calibrate proprio sulla sismicità storica come questa.,INGV — Catalogo Parametrico dei Terremoti Italiani CPTI15 e Database Macrosismico DBMI15,https://emidius.mi.ingv.it/CPTI15-DBMI15/
1928,1928–1932,idrogeologico,Abbassamento del Lago di Nemi — recupero delle Navi di Caligola,Lago di Nemi,Fra il 1928 e il 1932 il livello del Lago di Nemi viene abbassato di oltre 20 metri per recuperare le due navi monumentali di Caligola (I secolo d.C.) dal fondale. L'operazione ha conseguenze idrogeologiche dirette: la repentina variazione del livello destabilizza le pareti del cratere e i versanti sotto l'abitato di Nemi e Genzano. È l'inizio del monitoraggio sistematico dei versanti a rischio frana.,"Ogni modifica antropica significativa dei bacini lacustri ha ripercussioni sulla stabilità dei versanti. Il rischio idrogeologico locale è figlio anche di scelte umane, non solo di natura.",ISPRA — Carta nazionale del dissesto idrogeologico (versanti Colli Albani); Museo delle Navi Romane,https://www.isprambiente.gov.it/
1989,1989–1990,sismico,Crisi sismica dei Colli Albani,"Colli Albani, Castelli Romani","Fra il 1989 e il 1990 i Colli Albani sono interessati da uno sciame sismico di migliaia di scosse, generalmente di bassa magnitudo ma percepite dalla popolazione. L'evento principale è del 14 aprile 1989 con magnitudo M 4.2. La crisi attiva sul territorio comunale il primo nucleo operativo di volontariato di Protezione Civile: monitoraggio degli edifici, censimento dei danni minori, assistenza alla popolazione preoccupata.","Le crisi sismiche non sono sempre eventi singoli: anche sciami prolungati di scosse piccole richiedono organizzazione, presidio degli edifici scolastici, comunicazione costante con i cittadini. Da qui nasce concretamente la PC comunale di Genzano.",INGV — Bollettino sismico storico; ISIDe — Italian Seismological Instrumental and parametric Database,https://terremoti.ingv.it/
1992,1992,normativo,Legge Zamberletti — nasce il Servizio Nazionale della Protezione Civile,Italia,"La Legge 24 febbraio 1992, n. 225 (Legge Zamberletti) istituisce il Servizio nazionale della protezione civile, definendo per la prima volta in modo organico ruoli, competenze e il sistema di coordinamento fra Stato, Regioni, Comuni e volontariato organizzato.","La protezione civile moderna è un sistema, non un singolo ente. Ogni Comune — Genzano compreso — ne è parte attiva, con il suo Gruppo Comunale di volontari.","Normattiva — Legge 24 febbraio 1992, n. 225",https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1992;225
2003,2003,normativo,Genzano classificata in Zona sismica 2,Genzano di Roma e Castelli Romani,"Con l'OPCM 20 marzo 2003 n. 3274 e il recepimento regionale, Genzano di Roma e i Castelli Romani sono classificati in Zona sismica 2 (sismicità medio-alta, ag = 0,15–0,25 g). La classificazione vincola le Norme Tecniche di Costruzione antisismiche per nuove edificazioni e ristrutturazioni.",Vivere in Zona 2 significa progettare e costruire tenendo conto del terremoto. Non è solo burocrazia: è prevenzione che salva vite e patrimonio.,Regione Lazio — DGR n. 387/2009 (classificazione sismica); OPCM 3274/2003,https://www.regione.lazio.it/
2014,novembre 2014,idrogeologico,Alluvione lampo a Genzano,Frazione Landi e zona Olmo,"Nel novembre 2014 piogge intense scaricano in poche ore quantità d'acqua che la rete di drenaggio comunale non riesce a smaltire: criticità idrauliche nella Frazione Landi e nella zona Olmo, con allagamenti di scantinati, garage e tratti di viabilità. Intervento del Gruppo Comunale e delle squadre regionali per svuotamenti e ripristino.","Le alluvioni lampo non avvengono solo nei grandi fiumi: una rete urbana sottodimensionata in un'ora di pioggia intensa è un rischio reale. Manutenzione di caditoie, tombini e fossi è prevenzione quotidiana.",Comune di Genzano di Roma — Cronaca delle attività di protezione civile; Regione Lazio Centro Funzionale,https://www.regione.lazio.it/
2018,2018,normativo,Il Codice della Protezione Civile,Italia,"Il Decreto Legislativo 2 gennaio 2018, n. 1 — Codice della Protezione Civile — riunisce e aggiorna la disciplina del settore: le 4 attività (previsione, prevenzione, soccorso, superamento), il ruolo dei Comuni, la centralità del volontariato organizzato.","È la cornice entro cui opera oggi il Gruppo Comunale di Genzano: un riferimento unico per sapere chi fa cosa, prima, durante e dopo un'emergenza.","Normattiva — D.Lgs. 2 gennaio 2018, n. 1",https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2018;1
2018.5,29 ottobre 2018,meteorologico,Tempesta di vento — schianto di alberature monumentali,"Le Olmate, Genzano di Roma","Il 29 ottobre 2018 raffiche di vento eccezionali colpiscono il centro Italia. A Genzano si registra lo schianto di alberature monumentali (tigli e platani) lungo Le Olmate, il viale storico che collega il centro al Santuario. L'intervento di rimozione e messa in sicurezza dura circa 48 ore per ripristinare la viabilità strategica del corridoio comunale. Nota storica — il viale era originariamente alberato con olmi; la grafiosi (malattia fungina causata da *Ophiostoma novo-ulmi*) ha decimato il patrimonio nazionale di olmi nel Novecento, portando alla sostituzione con tigli e platani.","Il vento estremo è ormai un rischio ricorrente. La gestione del verde urbano (potature, monitoraggio fitosanitario, piani di sostituzione) è prevenzione di protezione civile a tutti gli effetti.",Centro Funzionale Regionale Lazio — bollettini meteo ottobre 2018; Cronaca attività Gruppo Comunale,https://www.regione.lazio.it/
